18	2	28.0
61	3	39.0
67	3	94.0
71	2	20.0
94	3	34.0
96	2	53.0
116	5	24.0
127	4	122.0
158	2	82.0
175	2	24.0
176	3	79.0
188	3	93.0
189	2	97.0
211	3	75.0
212	3	85.0
222	2	65.0
232	3	26.0
264	3	139.0
299	2	15.0
414	3	113.0
416	3	54.0
417	2	43.0
418	4	122.0
441	3	32.0
538	3	61.0
571	3	90.0
576	3	29.0
582	3	64.0
613	2	127.0
616	3	125.0
660	3	111.0
667	2	92.0
681	2	21.0
733	3	21.0
734	3	97.0
735	2	15.0
740	2	94.0
846	2	31.0
867	3	105.0
875	2	34.0
895	3	35.0
966	3	109.0
1071	2	121.0
1088	3	111.0
1111	2	64.0
1153	2	74.0
1175	3	118.0
1184	2	91.0
1206	5	15.0
1243	3	84.0
1251	2	141.0
1298	3	20.0
1302	2	115.0
1320	2	35.0
1354	3	54.0
1360	3	96.0
1400	3	126.0
1415	2	113.0
1418	2	27.0
1424	3	62.0
1436	3	42.0
1453	3	98.0
1481	2	73.0
1510	3	66.0
1591	3	60.0
1612	5	31.0
1617	2	44.0
1625	3	70.0
1661	3	92.0
1665	3	57.0
1756	2	123.0
1799	2	45.0
1830	2	76.0
1840	3	108.0
1848	3	124.0
1855	3	40.0
1859	3	45.0
1870	4	20.0
1873	3	62.0
1888	2	56.0
1914	2	20.0
1937	3	112.0
1984	3	119.0
1999	3	34.0
2054	2	31.0
2092	3	44.0
2114	3	130.0
2169	3	114.0
2211	2	19.0
2296	4	115.0
2352	2	120.0
2362	3	79.0
2374	2	57.0
2383	2	32.0
2403	2	58.0
2479	2	117.0
2496	2	86.0
2503	3	115.0
2538	6	93.0
2539	3	32.0
2583	2	97.0
2629	3	96.0
2677	3	118.0
2738	3	81.0
2751	2	65.0
2759	2	55.0
2788	3	108.0
2789	3	50.0
2790	3	23.0
2810	3	54.0
2844	2	62.0
2845	2	99.0
2896	3	121.0
2912	3	86.0
2950	3	38.0
3007	2	43.0
3035	3	111.0
3058	2	95.0
3077	3	86.0
3118	3	90.0
3140	3	77.0
3146	2	39.0
3198	2	69.0
3265	3	15.0
3270	4	29.0
3281	2	32.0
3327	3	35.0
3332	3	38.0
3336	3	92.0
3345	2	20.0
3347	3	129.0
3362	2	73.0
3384	3	28.0
3554	2	37.0
3619	3	121.0
3636	3	116.0
3664	2	112.0
3692	2	94.0
3781	3	99.0
3806	3	131.0
3809	2	32.0
3884	3	55.0
3950	3	28.0
3968	6	93.0
4021	3	109.0
4060	3	16.0
4165	3	139.0
4175	3	42.0
4208	3	81.0
4232	3	97.0
4269	2	26.0
4362	2	87.0
4514	3	127.0
4522	3	69.0
4560	4	129.0
4565	3	138.0
4630	3	64.0
4641	3	76.0
4684	3	21.0
4702	2	34.0
4709	3	81.0
4736	3	99.0
4770	2	27.0
4806	2	37.0
4809	3	58.0
4821	3	22.0
4854	3	18.0
4906	3	43.0
4913	2	105.0
4987	2	55.0
5016	2	80.0
5069	3	139.0
5102	2	106.0
5122	3	95.0
5160	4	47.0
5262	3	124.0
5263	2	105.0
5345	3	115.0
